stable_id,slug,taxonomy,kind,db_object_type,version,status_rttc,promotion_state,source_authority,source_authority_resolved,parent_stable_id,parent_resolved,created,updated,last_activity,last_activity_source,design_source_path,qml_target_path
rttc-motion-bar-sweep,BarSweep,components.motion,motion,molecule,1,draft,draft,spec-doc,True,,False,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/BarSweep.qml
rttc-motion-breach-frame,BreachFrame,components.motion,motion,molecule,1,draft,draft,spec-doc,True,,False,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/BreachFrame.qml
rttc-motion-check-tick,CheckTick,components.motion,motion,molecule,1,draft,draft,spec-doc,True,,False,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/CheckTick.qml
rttc-motion-dots-march,DotsMarch,components.motion,motion,molecule,1,draft,draft,spec-doc,True,,False,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/DotsMarch.qml
rttc-motion-failsafe,Failsafe,components.motion,motion,molecule,1,draft,draft,spec-doc,True,,False,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/Failsafe.qml
rttc-motion-lock-wake,LockWake,components.motion,motion,molecule,1,draft,draft,spec-doc,True,,False,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/LockWake.qml
rttc-motion-mascot,Mascot,components.motion,motion,molecule,1,draft,draft,spec-doc,True,rttc-uikit-mascot-mini,True,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/Mascot.qml
rttc-motion-notif-pill,NotifPill,components.motion,motion,molecule,1,draft,draft,spec-doc,True,,False,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/NotifPill.qml
rttc-motion-notif-stack,NotifStack,components.motion,motion,molecule,1,draft,draft,spec-doc,True,,False,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/NotifStack.qml
rttc-motion-orbit-spinner,OrbitSpinner,components.motion,motion,molecule,1,draft,draft,spec-doc,True,,False,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/OrbitSpinner.qml
rttc-motion-prompt-cursor,PromptCursor,components.motion,motion,molecule,1,draft,draft,spec-doc,True,,False,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/PromptCursor.qml
rttc-motion-radio-pulse,RadioPulse,components.motion,motion,molecule,1,draft,draft,spec-doc,True,,False,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/RadioPulse.qml
rttc-motion-spec-sheet,MotionSpecSheet,components.motion,motion,molecule,1,draft,draft,spec-doc,True,rttc-motion-orbit-spinner,True,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/MotionSpecSheet.qml
rttc-motion-toggle-switch,ToggleSwitch,components.motion,motion,molecule,1,draft,draft,spec-doc,True,,False,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/motion/ToggleSwitch.qml
components-motion-atoms-readme,README,components.motion.atoms,atom,atom,1,draft,draft,-,False,,False,-,-,-,missing,,
components-motion-molecules-readme,README,components.motion.molecules,molecule,molecule,1,draft,draft,-,False,,False,-,-,-,missing,,
rttc-gnosis-app-2026-06-01,GnosisApp,components.root,component,,1,active,candidate,-,False,,False,2026-06-01,2026-06-02,2026-06-02,updated,,
rttc-gnosis-tracker-overlay-2026-06-01,GnosisTrackerOverlay,components.root,component,,1,active,candidate,-,False,,False,2026-06-01,2026-06-01,2026-06-01,updated,,
rttc-cmp-context-menu-host,ContextMenuHost,components.root,deprecated,,1,superseded,deprecated,runtime,True,rttc-uikit-context-menu,True,2026-05-16,-,2026-05-16,created,,shell-v2/components/ContextMenuHost.qml
components-root-lockoverlay,LockOverlay,components.root,surface,,1,validated,canonical,-,False,,False,2026-05-16,2026-05-16,2026-05-16,updated,,
components-uikit-gnuicon,GnuIcon,components.uikit,component,,1,active,candidate,-,False,,False,2026-05-16,2026-06-07,2026-06-07,updated,,
rttc-uikit-dock,Dock,components.uikit,component,,1,draft,draft,spec-doc,True,rttc-uikit-mascot-mini,True,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-contextmenu-v4/ (Dock.jsx assumé absent — pattern dérivé de l'usage motion + shell.css),shell-v2/components/uikit/Dock.qml
rttc-uikit-mascot-mini,MascotMini,components.uikit,component,,1,draft,draft,spec-doc,True,rttc-motion-mascot,True,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-contextmenu-v4/syster-mascot.jsx (variante menu),shell-v2/components/uikit/MascotMini.qml
rttc-uikit-notif-pill,NotifPill,components.uikit,component,,1,draft,draft,spec-doc,True,rttc-motion-notif-pill,True,2026-05-16,-,2026-05-16,created,gnu.in-design-reference/design_refs/context-specs/2026-06-06-context-spec-v31-motion-40,shell-v2/components/uikit/NotifPill.qml
rttc-uikit-onboarding-card,OnboardingCard,components.uikit,component,,1,draft,draft,spec-doc,True,rttc-uikit-mascot-mini,True,2026-05-16,-,2026-05-16,created,shell.css (.gnu-onboarding family — non lu),shell-v2/components/uikit/OnboardingCard.qml
rttc-uikit-system-chip,SystemChip,components.uikit,component,,1,draft,draft,runtime,True,rttc-uikit-mascot-mini,True,2026-05-16,-,2026-05-16,created,,shell-v2/components/uikit/SystemChip.qml
rttc-uikit-syster-tooltip,SysterToolTip,components.uikit,component,,2,active,candidate,runtime,True,,False,2026-05-16,2026-06-07,2026-06-07,updated,,gnu.in-shell/components/uikit/SysterToolTip.qml
rttc-uikit-toast,Toast,components.uikit,component,,1,draft,draft,runtime,True,,False,2026-05-16,-,2026-05-16,created,,shell-v2/components/uikit/Toast.qml
rttc-uikit-context-menu,ContextMenu,components.uikit,prototype,,1,superseded,deprecated,spec-doc,True,rttc-uikit-context-menu-archetypes,True,2026-05-16,-,2026-05-16,created,"gnu.in-design-reference/design_refs/context-specs/2026-06-06-contextmenu-v4/{menu-primitives.jsx,menu-archetypes.jsx,menu-scenes.jsx}",shell-v2/components/uikit/ContextMenu.qml
rttc-uikit-context-menu-archetypes,ContextMenu.archetypes,components.uikit,prototype,,1,superseded,deprecated,spec-doc,True,rttc-uikit-context-menu,True,2026-05-16,-,2026-05-16,created,"gnu.in-design-reference/design_refs/context-specs/2026-06-06-contextmenu-v4/{menu-archetypes.jsx,menu-scenes.jsx,board-extras.jsx,design-canvas.jsx}",(none — l'intégration QML actuelle ne supporte qu'un sous-ensemble)
